Year Reported to CDP,Account Number,Organization,City,Country,CDP Region,Reporting Authority,Access,City-wide Emissions Inventory,Accounting Year,Inventory Boundary,Primary Protocol,Primary Protocol Comment,Common Reporting Framework inventory format (GPC) ,Gases Included,Direct emissions/ Scope 1 (metric tonnes CO2e) for Total generation of grid supplied energy ,Direct emissions/ Scope 1 (metric tonnes CO2e) for Total emissions (excluding generation of grid-supplied energy) ,Indirect emissions from use of grid supplied energy/Scope 2 (metric tonnes CO2e) for Total generation of grid supplied energy,Indirect emissions from use of grid supplied energy/Scope 2 (metric tonnes CO2e) for Total emissions (excluding generation of grid-supplied energy),Emissions occurring outside city boundary/ Scope 3 (metric tonnes CO2e) for Total generation of grid supplied energy ,Emissions occurring outside city boundary/ Scope 3 (metric tonnes CO2e) for Total emissions (excluding generation of grid-supplied energy) ,Total Scope 1 Emissions (metric tonnes CO2e),Total Scope 2 Emissions (metric tonnes CO2e),Total Scope 3 emissions (metric tonnes CO2e),Total BASIC Emissions (GPC),Total BASIC+ Emissions (GPC),Chnage in emissions,Reason for change,​Land area (in square km),Population,Population Year,City Location,Last update
2019,3429,City of Stockholm,Stockholm,Sweden,Europe,"C40, CDP Cities, ICLEI - Local Governments for Sustainability",public,Yes,2017-01-01 - 2017-12-31,Same – covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),"Latest available data is from 2017.The total emissions for the community include:Scope 1 & 3 emissions from district heating & cooling system and other in-boundary fuel combustion for heatingScope 2 & 3 emissions of the district heating and house-hold electricity consumption within the community boundaryScope 1 & 3 emissions of use of gas e.g. cookingScope 2 & 3 emissions for electricity use in the transportation system (metro, commuter, train) within the communityScope 1 & 3 emissions for the fuel consumption from road traffic, non-road vehicles and shipping, & scope 1 emissions from aviation (within the landing & take-off cycle, i.e. up to 915m).This means that scope 3 emissions from transport of inhabitants outside the community boundary is not included (but transport of non-inhabitants within the community boundary is). Emission from household waste incineration is embedded in the district heating emissions, since household waste is a source of energy used in district heating. Energy use for waste-water handling is included in the total community energy use.Emission factors are collected from a report published by Swedish Environmental Research Institute Ltd. (IVL) in 2001 and Thermal Engineering Research Institute (Värmeforsk) in 2011. The reports are widely used and acknowledged. The global warming potentials are GWP100 from IPCC 2013, as recommended by the Swedish Environmental Protection Agency (SEPA).Energy statistics are collected from different sources: district heating & gas statistics are collected from the companies; electricity statistics is compiled and collected from Statistics Sweden; emissions from road transport is modeled using an extensive emission model combined with a road model over Stockholm (includes a variety vehicles, speeds, road types etc) and non-road emissions are taken from Statistics Sweden; marine emissions within the community boundary are based on emissions & energy use presented in environmental reports from shipping companies and Ports of Stockholm.",No,"CH4, CO2, N20",,,,,,,1776007,762200,36794,1715597,1752391,Decreased,Technological change,,949761,2017,POINT (18.0686 59.3293),2020-05-01T03:57:57.217
2019,69834,Municipalidad de General Alvear (Mendoza),"General Alvear, Buenos Aires",Argentina,Latin America,"CDP Cities, ICLEI - Local Governments for Sustainability",public,Yes,2014-01-01 - 2014-12-31,Same – covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),"Excel. Se utilizó la herramienta de cálculo desarrollada por la Red Argentina de Municipios frente al Cambio Climática, que fue diseñada en base al protocolo GPC para inventarios de emisiones de GEI para ciudades argentinas.",Yes,"CH4, CO2, N20",0,365148.77,0,30341.85,0,4653.97,,,,,,This is our first year of calculation,Other,,46429,2010,POINT (-67.6955 -34.978),2020-05-01T03:57:57.217
2019,3422,Greater London Authority,London,United Kingdom of Great Britain and Northern Ireland,Europe,"C40, CDP Cities, ICLEI - Local Governments for Sustainability, WWF",public,Yes,2016-01-01 - 2016-12-31,Same – covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),,Yes,"CH4, CO2, N20",2558704,19347319,,11717691,,,,,,,,Decreased,Technological change,,8883800,2017,POINT (-0.07868 51.5048),2020-05-01T03:57:57.217
2019,59580,"Town of Dedham, MA",,United States of America,North America,"CDP Cities, ICLEI - Local Governments for Sustainability",public,Yes,2018-01-01 - 2018-12-31,Same – covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),Dedham has used GPC methodology to make community GHG inventory.,No,"CH4, CO2, N20",,,,,,,70699,52283,,70699.65,,This is our first year of calculation,Other,,25377,2017,,2020-05-01T03:57:57.217
2019,54497,City of Wroclaw,Wroclaw,Poland,Europe,"CDP Cities, ICLEI - Local Governments for Sustainability",public,Yes,2017-01-01 - 2017-12-31,Same – covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,No,"CH4, CO2, N20",,,,,,,1960066,2688923,5753,4654742,4663426,Increased,Increased energy/electricity consumption,,640600,2018,POINT (17.0385 51.1079),2020-05-01T03:57:57.217
2019,50361,Ayuntamiento de Hermosillo,Hermosillo,Mexico,Latin America,"CDP Cities, ICLEI - Local Governments for Sustainability, WWF",public,Yes,2014-01-01 - 2015-01-01,Larger – covers the whole city and adjoining areas,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),,No,"CH4, CO2, HFCs, N20, NF3, PFCs, SF6",,,,,,,5351760,1578523,771719,5627561,7700073,Stayed the same,No new inventory to report,,727267,2010,POINT (-110.961 29.0892),2020-05-01T03:57:57.217
2019,73725,Guaminí,,Argentina,Latin America,"CDP Cities, ICLEI - Local Governments for Sustainability",public,Yes,2014-01-01 - 2014-12-31,Same – covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),,Yes,"CH4, CO2, N20",0,788012.73,0,6097.95,0,935.33,,,,,,,,,11826,2010,,2020-05-01T03:57:57.217
2019,31109,City of Melbourne,City of Melbourne,Australia,Southeast Asia and Oceania,"C40, CDP Cities, ICLEI - Local Governments for Sustainability",public,Yes,2018-01-01 - 2018-12-31,Same – covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),"City of Melbourne's GPC profile includes scope 1, 2 and 3 emissions from stationary energy, transportation, and waste and upstream scope 3 emissions from electricity, natural gas, gas distribution, and transport fuels. Emissions sources are converted to CO2e using the emissions factors listed in the Australian National Greenhouse Accounts. Electricity and gas data was provided by utility operators by postcode and market segment (domestic, commercial, industrial). While best available, variations and discrepancies in the data are common from year to year. Emissions from private vehicle use were estimated using a transport model built by Council using reliable traffic count data from State government agencies, apportioned across vehicle class and fuel type based on survey data collected by the Australian Bureau of Statistics. Emissions from trams and trains estimated based on vehicle kilometers traveled (timetable frequency x track length) and energy and CO2e per km figures provided by transport operators. Emissions from waterbourne transport estimated based on actual shipping movement data, annual tonnages, and time in port. The amount of waste produced within the municipality was estimated from a waste study undertaken in 2017, which includes MSW volume data provided directly by waste contractors.",Yes,"CH4, CO2, N20",,993193.74,,3396147.81,,603188.08,,,,,,Increased,,,169961,2018,POINT (144.963 -37.8141),2020-05-01T03:57:57.217
2019,50555,City of Hamilton,Hamilton,Canada,North America,"CDP Cities, ICLEI - Local Governments for Sustainability",public,Yes,2017-01-01 - 2017-12-31,Same – covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),"Waste information directly from Public Works and reports to Ministry of Environment re: energy capture of methane control at landfill Transportation and Agriculture data from Statistics Canada Census Industrial (Steel Sector) GHG emissions data reported directly to Canada's National Pollutants Release Inventory (NPRI)  Commercial, Residential, Industrial (not Steel) from local electricity and natural gas utilities.",No,"CH4, CO2, N20",,,,,,,10752653,2602871,,8167864,13355524,Decreased,Other: Change in emission factors and usage,,558397,2017,POINT (-79.8661 43.25),2020-05-01T03:57:57.217
2019,73801,Juana Koslay,,Argentina,Latin America,"CDP Cities, ICLEI - Local Governments for Sustainability",public,Yes,2014-01-01 - 2014-12-31,Same – covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),,Yes,"CH4, CO2, N20",0,35061.47,0,8989.18,0,5891.46,,,,,,,,,15912,2016,,2020-05-01T03:57:57.217
2019,841326,Municipalidad de Oro Verde,,Argentina,Latin America,"CDP Cities, ICLEI - Local Governments for Sustainability",public,Yes,2016-01-01 - 2016-12-31,Same – covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),"Excel. Se utilizó la herramienta de cálculo desarrollada por la Red Argentina de Municipios frente al Cambio Climática, que fue diseñada en base al protocolo GPC para inventarios de emisiones de GEI para ciudades argentinas.",Yes,"CH4, CO2, N20",,153742.2,,5467.5,,819.65,,,,,,This is our first year of calculation,Other: Falta de datos,,6221,2016,,2020-05-01T03:57:57.217
2019,49327,City of Providence,Providence,United States of America,North America,"CDP Cities, ICLEI - Local Governments for Sustainability",public,Yes,2018-01-01 - 2018-12-31,Same – covers entire city and nothing else,U.S. Community Protocol for Accounting and Reporting of Greenhouse Gas Emissions (ICLEI),,,"CH4, CO2, N20",,1941206,,527900,,27994,,,,,,Decreased,Behavioural change,,179335,2018,POINT (-71.4128 41.824),2020-05-01T03:57:57.217
2019,54335,Government of the City of Yogyakarta,,Indonesia,Southeast Asia and Oceania,"CDP Cities, ICLEI - Local Governments for Sustainability, WWF",public,Yes,2016-01-01 - 2016-12-30,Same – covers entire city and nothing else,2006 IPCC Guidelines for National Greenhouse Gas Inventories,"There are 4 main components in the emissions inventory, namely: sources of emissions, emission activity data, emission factors and emission parameters / variables inventoried. For GHG inventories the emission variables will vary from source to source: carbondiokasida, methane and dinitrogen dioxide. Sources of emissions are the main activities or activities of the community that have the potential to contribute to emissions, especially in large quantities and are typical activities in a region.In general, the formula for calculating GHG emissions is as follows: E = AD x efE = Emission burden borne by the region for a certain period (tons / year)AD = Activity data from emission sources (adjust)ef = Emission factor (adjust)",,"CH4, CO2, N20",,1199556.19,,,,,,,,,,Decreased,Behavioural change,,422732,2017,,2020-05-01T03:57:57.217
2019,31111,Tokyo Metropolitan Government,Tokyo,Japan,East Asia,"C40, CDP Cities, ICLEI - Local Governments for Sustainability, WWF",public,Yes,2016-04-01 - 2017-03-31,Same – covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),,No,"CH4, CO2, HFCs, N20, NF3, PFCs, SF6",,,,,,,25150295,37437787,13546749,57996872,76134832,Decreased,Other,,13857443,2019,POINT (139.41 35.41),2020-05-01T03:57:57.217
2019,14088,City of Oslo,Oslo,Norway,Europe,"C40, CDP Cities, ICLEI - Local Governments for Sustainability",public,Yes,2017-01-01 - 2017-12-31,Same – covers entire city and nothing else,Other,"The Norwegian Environment Agency publish annual greenhouse gas emission inventories for municipalities in Norway, including Oslo. The inventories cover scope 1 emissions as defined in the GHGprotocol for cities ('territorial emissions'), and heavily rely on the methodology and factors described in the 2006 IPCC Guidelines. The city of Oslo report the inventory unaltered from the Norwegian Environment Agency. The Climate Agency has coded the emission sources to GPC references. Details are included in the attachment.",,"CH4, CO2, N20",270657,791886,,,,,,,,,,Decreased,Policy change,,673469,2017,POINT (10.7522 59.9139),2020-05-01T03:57:57.217
2019,31167,City of Lagos,Lagos,Nigeria,Africa,"C40, CDP Cities, ICLEI - Local Governments for Sustainability",public,Yes,2015-01-01 - 2015-12-31,Same – covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),,No,"CH4, CO2, N20",,,,,,,25640207,3693744,1684376,26443657,28128033,Decreased,Improved data accuracy,,21000000,2015,POINT (3.3792 6.52437),2020-05-01T03:57:57.217
2019,50220,Métropole Nice Côte d'Azur,Nice,France,Europe,"CDP Cities, ICLEI - Local Governments for Sustainability",public,Yes,2016-01-01 - 2016-12-31,Same – covers entire city and nothing else,Regional or country specific methodology,"Emission data are calculated by the regional Observatory of Climate, Air and Energy. Their methodology complies with the guidelines from the French ""Pôle de Coordination des Inventaires Territoriaux"" (local emission inventory task force). All the regional observatories use the same methodology.",,"CH4, CO2, N20",,2059572,,178787,,,,,,,,Stayed the same,Emissions have not changed,,540000,2016,POINT (7.26195 43.7102),2020-05-01T03:57:57.217
2019,49172,City of St. Petersburg,St. Petersburg,United States of America,North America,"CDP Cities, ICLEI - Local Governments for Sustainability",public,Yes,2016-01-01 - 2016-12-31,Same – covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),,No,"CH4, CO2, N20",,,,,,,1428892,1356551,184213,2693166,,Do not know,Lack of documentation,,266000,2017,,2020-05-01T03:57:57.217
2019,50560,City of Oakland,Oakland,United States of America,North America,"CDP Cities, ICLEI - Local Governments for Sustainability, WWF",public,Yes,2017-01-01 - 2017-12-31,Same – covers entire city and nothing else,U.S. Community Protocol for Accounting and Reporting of Greenhouse Gas Emissions (ICLEI),The City of Oakland uses SEEC-ClearPath California to help manage its GHG emissions.,,"CH4, CO2, N20",188141,2678259,0,0,73213,4234425,,,,,,Decreased,Technological change,,425195,2017,POINT (-122.271 37.8044),2020-05-01T03:57:57.217
2019,35862,City of Detroit,Detroit,United States of America,North America,"CDP Cities, ICLEI - Local Governments for Sustainability",public,Yes,2012-01-01 - 2012-12-31,Same – covers entire city and nothing else,U.S. Community Protocol for Accounting and Reporting of Greenhouse Gas Emissions (ICLEI),Also followed USEPA guidance.,,"CH4, CO2, N20",,,,,,,5520240,4809082,300451,,,,,,673104,2017,POINT (-83.0457 42.3314),2020-05-01T03:57:57.217
2019,36037,Santiago de Cali,Santiago de Cali,Colombia,Latin America,"CDP Cities, ICLEI - Local Governments for Sustainability",public,Yes,2015-01-01 - 2015-12-31,Same – covers entire city and nothing else,2006 IPCC Guidelines for National Greenhouse Gas Inventories,,,"CH4, CO2, N20",0,4174608,0,0,0,0,,,,,,Do not know,Other,,2369829,2015,POINT (-76.532 3.45164),2020-05-01T03:57:57.217
2019,50650,City of Gibraltar,Gibraltar,Gibraltar,Europe,"CDP Cities, ICLEI - Local Governments for Sustainability",public,Yes,2017-01-01 - 2017-12-31,Same – covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),'Global Protocol for Community-Scale Greenhouse Gas Emissions (GPC)’. Following IPCC 2006 Guidelines for most emission sources.,Yes,"CH4, CO2, HFCs, N20, PFCs",154317,80372,,128044,,346652,,,,,,Decreased,Other,,34481,2017,POINT (-5.35359 36.1408),2020-05-01T03:57:57.217
2019,54603,Alcaldia de Pasto,Pasto,Colombia,Latin America,"CDP Cities, ICLEI - Local Governments for Sustainability, WWF",public,Yes,2017-06-15 - 2018-06-14,Same – covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),"Este inventario de Gases de Efecto Invernadero (GEI) fue realizado utilizando el modelo GPC (Global Protocol for Community-Scale Greenhouse Gas Emission Inventories) (Protocolo Globalpara Inventarios de Emisiones de Gases Efecto Invernadero a Escala Comunitaria) (World Resources Institute 2014), el cual se ha convertido desde el 2012 en un estándar para la medición de emisiones GEI a nivel de ciudad, las cuales representan más del 70% de las emisiones del planeta. Hasta la fecha, el GPC se ha implementado más de 100 ciudades importantes a nivel mundial, con el potencial de incluir otras 1000 en el corto plazo.Debido a la gran variabilidad entre los métodos existentes para inventarios GEI en las ciudades, sus resultados son frecuentemente inconsistentes, dificultan la comparación entre ellas y generan dudas sobre la validez de sus conclusiones para la toma de decisiones de mitigación.",No,"CH4, CO2, HFCs, N20, NF3, PFCs, SF6",,,,,,,94515.9,290,14500,69600,,Stayed the same,No new inventory to report,,455678,2015,,2020-05-01T03:57:57.217
2019,54517,City Örebro,Örebro,Sweden,Europe,"CDP Cities, ICLEI - Local Governments for Sustainability, Union of the Baltic Cities, WWF",public,Yes,2017-01-01 - 2017-12-31,Same – covers entire city and nothing else,Regional or country specific methodology,We have collected data from the regional monitory system (RUS http://projektwebbar.lansstyrelsen.se/rus/Sv/statistik-och-data/nationell-emissionsdatabas/Pages/default.aspx ).,,"CH4, CO2, HFCs, N20, PFCs, SF6",,455709,,,,,,,,,,Decreased,Other: A combination of diffrent factors.,,153367,2018,POINT (15.2066 59.2741),2020-05-01T03:57:57.217
2019,826212,Junta intermunicipal para la gestión integral de la cuenca del Río Coahuayana (JIRCO),,Mexico,Latin America,"CDP Cities, ICLEI - Local Governments for Sustainability",public,,,,,,,,,,,,,,,,,,,,,,285774,2010,,2020-05-01T03:57:57.217
2019,68290,Wyndham City Council,,Australia,Southeast Asia and Oceania,"CDP Cities, ICLEI - Local Governments for Sustainability",public,Yes,2016-07-01 - 2017-06-30,Same – covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),Global Protocol for Community-scale Greenhouse Gas Emissions Inventories (GPC).,No,"CH4, CO2, N20",,,,,,,1178612.51,2194812.42,231804.98,3402006.54,3605229.91,,,,255322,2018,,2020-05-01T03:57:57.217
2019,838939,Kocaeli Metropolitan Municipality,,Turkey,Europe,"CDP Cities, ICLEI - Local Governments for Sustainability, WWF",public,Yes,2016-01-01 - 2016-12-31,Same – covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),,No,"CH4, CO2, N20",,,,,,,18671586,4097512,,,,This is our first year of calculation,,,1830772,2016,,2020-05-01T03:57:57.217
2019,54082,"City of Hollywood, FL",Hollywood,United States of America,North America,"CDP Cities, ICLEI - Local Governments for Sustainability",public,Yes,2014-01-01 - 2014-12-31,Same – covers entire city and nothing else,U.S. Community Protocol for Accounting and Reporting of Greenhouse Gas Emissions (ICLEI),,,"CH4, CO2, N20",,,,,,,0,874200.85,159815.55,,,This is our first year of calculation,,,149750,2017,POINT (-80.1495 26.0112),2020-05-01T03:57:57.217
2019,35883,City of San José,"San José, CA",United States of America,North America,"CDP Cities, ICLEI - Local Governments for Sustainability",public,Yes,2017-01-01 - 2017-12-31,Same – covers entire city and nothing else,U.S. Community Protocol for Accounting and Reporting of Greenhouse Gas Emissions (ICLEI),"The 2017 inventory update was produced by ICLEI and uses the approach and methods provided by the Global Protocol for Community Scale GHG inventories (GPC). It also draws methods from the U.S. Community Protocol, which provides more detailed methodology specific to U.S. communities.",,"CH4, CO2, N20",,4665342,,753640,,292684,,,,,,Decreased,Policy change,,1046079,2017,POINT (-121.886 37.3382),2020-05-01T03:57:57.217
2019,59678,"City of Evanston, IL",Evanston,United States of America,North America,"CDP Cities, ICLEI - Local Governments for Sustainability",public,Yes,2018-01-01 - 2018-12-31,Same – covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),,Yes,"CH4, CO2, N20",,524034,,415356,,20288,,,,,,Increased,Increased energy/electricity consumption,,75603,2015,POINT (-87.6898 42.0669),2020-05-01T03:57:57.217
2019,73806,Llambi Campbell,,Argentina,Latin America,"CDP Cities, ICLEI - Local Governments for Sustainability",public,Yes,2016-01-01 - 2016-12-31,Same – covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),,Yes,"CH4, CO2, N20",,26041.42,,1464.43,,237.77,,,,,,,,,2523,2010,,2020-05-01T03:57:57.217
2019,834260,Municipality of Olavarría,,Argentina,Latin America,"CDP Cities, ICLEI - Local Governments for Sustainability",public,Yes,2014-01-01 - 2014-12-31,Same – covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),"Excel. Se utilizó la herramienta de cálculo desarrollada por la Red Argentina de Municipios frente al Cambio Climática, que fue diseñada en base al protocolo GPC para inventarios de emisiones de GEI para ciudades argentinas.",Yes,"CH4, CO2, N20",0,3009734.85,0,299642.93,0,45960.63,,,,,,This is our first year of calculation,Other,,111708,2010,,2020-05-01T03:57:57.217
2019,54070,City of Eugene,Eugene,United States of America,North America,"CDP Cities, ICLEI - Local Governments for Sustainability",public,Yes,2017-01-01 - 2017-12-31,Same – covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),,No,"CH4, CO2, N20, PFCs, SF6",,,,,,,912080,725157,76972,1641401,1714208,Increased,Change in weather conditions,,165885,2016,POINT (-123.087 44.0519),2020-05-01T03:57:57.217
2019,826209,Aipromades Lago de Chapala,Chapala,Mexico,Latin America,"CDP Cities, ICLEI - Local Governments for Sustainability",public,Yes,2018-01-01 - 2018-12-31,Same – covers entire city and nothing else,2006 IPCC Guidelines for National Greenhouse Gas Inventories,,,"CH4, CO2, N20",,,,,,,,,,,,,,,601263,2015,POINT (-103.191 20.2962),2020-05-01T03:57:57.217
2019,73671,Godoy Cruz,,Argentina,Latin America,"CDP Cities, ICLEI - Local Governments for Sustainability",public,Yes,2014-01-01 - 2014-12-31,Same – covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),"Excel. Se utilizó la herramienta de cálculo desarrollada por la Red Argentina de Municipios frente al Cambio Climática, que fue diseñada en base al protocolo GPC para inventarios de emisiones de GEI para ciudades argentinas.",Yes,"CH4, CO2, N20",0,308774.07,0,135021.31,0,114642.45,,,,,,This is our first year of calculation,Other,,191903,2010,,2020-05-01T03:57:57.217
2019,49335,Metropolitan Government of Nashville and Davidson County,Nashville,United States of America,North America,"CDP Cities, ICLEI - Local Governments for Sustainability",public,Yes,2014-01-01 - 2014-12-31,Same – covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),,No,"CH4, CO2, N20",,,,,,,6680198,5801169,979925,13461292,13461292,Increased,Improved data accuracy,,667560,2017,POINT (-86.7816 36.1627),2020-05-01T03:57:57.217
2019,31181,City of Philadelphia,Philadelphia,United States of America,North America,"C40, CDP Cities, ICLEI - Local Governments for Sustainability",public,Yes,2016-01-01 - 2016-12-31,Same – covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),Philadelphia uses both BASIC and BASIC+ categories.,No,"CH4, CO2, N20, SF6",,,,,,,9050464,5555807,219124,14825395,15591906,Decreased,Other,,1555072,2015,POINT (-75.1638 39.9523),2020-05-01T03:57:57.217
2019,826207,Junta Intermunicipal de Medio Ambiente Region Valles (JIMAV),JIMAV,Mexico,Latin America,"CDP Cities, ICLEI - Local Governments for Sustainability, WWF",public,Yes,2016-01-01 - 2016-12-31,Same – covers entire city and nothing else,2006 IPCC Guidelines for National Greenhouse Gas Inventories,,,"CH4, CO2, N20, NF3, SF6",,1554768,,194152,,33906,,,,,,This is our first year of calculation,Lack of resource / funding overcome,,371457,2015,POINT (-104.367 19.7682),2020-05-01T03:57:57.217
2019,834229,Municipality of Bragado,,Argentina,Latin America,"CDP Cities, ICLEI - Local Governments for Sustainability",public,Yes,2014-01-01 - 2014-12-31,Same – covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),"Excel. Se utilizó la herramienta de cálculo desarrollada por la Red Argentina de Municipios frente al Cambio Climática, que fue diseñada en base al protocolo GPC para inventarios de emisiones de GEI para ciudades argentinas.",Yes,"CH4, CO2, N20",106175.2,446389.91,0,115980.69,0,17789.66,,,,,,This is our first year of calculation,Other,,41336,2010,,2020-05-01T03:57:57.217
2019,54075,City of Lakewood,Lakewood,United States of America,North America,"CDP Cities, ICLEI - Local Governments for Sustainability",public,Yes,2018-01-01 - 2018-12-31,Same – covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),,No,"CH4, CO2, HFCs, N20, NF3, PFCs, SF6",,,,,,,820994,628527,274051,1480119,,Decreased,Other: Cleaner electrical grid energy sources,,155000,2018,POINT (-105.081 39.7047),2020-05-01T03:57:57.217
2019,61427,Municipality of Nacala,Nacala,Mozambique,Africa,"CDP Cities, ICLEI - Local Governments for Sustainability",public,Yes,2016-01-01 - 2016-12-31,Larger – covers the whole city and adjoining areas,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),The desktop study included a review of the GPC standard and the CDP and carbonn climate registry reporting platforms.,No,"CH4, CO2, N20",,,,,,,198679,2137,3968,200816,204784,Stayed the same,Other: This is our first inventory report,,224795,2019,POINT (40.6854 -14.5656),2020-05-01T03:57:57.217
2019,54620,Gobierno Municipal de la Ciudad de Paraná,la Ciudad de Paraná,Argentina,Latin America,"CDP Cities, ICLEI - Local Governments for Sustainability",public,Yes,2014-01-01 - 2014-12-31,Same – covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),"Excel. Se utilizó la herramienta de cálculo desarrollada por la Red Argentina de Municipios frente al Cambio Climática, que fue diseñada en base al protocolo GPC para inventarios de emisiones de GEI para ciudades argentinas.",Yes,"CH4, CO2, N20",0,616805.03,0,176406.77,0,31049.62,,,,,,This is our first year of calculation,Other,,247863,2010,,2020-05-01T03:57:57.217
2019,50571,City of Victoria,Victoria,Canada,North America,"CDP Cities, ICLEI - Local Governments for Sustainability",public,Yes,2018-01-01 - 2018-12-31,Same – covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),,Yes,"CH4, CO2, HFCs, N20, NF3, PFCs, SF6",0,262045,,7922,,183521,,,,,,Decreased,Increased energy/electricity consumption,,92000,2018,POINT (-123.366 48.4284),2020-05-01T03:57:57.217
2019,50792,Ville de Monaco,Monaco,Monaco,Europe,"CDP Cities, ICLEI - Local Governments for Sustainability",public,Yes,2017-01-01 - 2017-12-31,Same – covers entire city and nothing else,2006 IPCC Guidelines for National Greenhouse Gas Inventories,L'application de cette méthode est imposée par la CCNUCC.,,"CH4, CO2, HFCs, N20, NF3, PFCs, SF6",,,,,,,86586,0,0,,,Decreased,Other: Baisse de la consommation de fuel,,38300,2018,POINT (7.42081 43.7374),2020-05-01T03:57:57.217
2019,31179,Gemeente Rotterdam,Rotterdam,Netherlands,Europe,"C40, CDP Cities, ICLEI - Local Governments for Sustainability",public,Yes,2017-01-01 - 2017-12-31,Same – covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),,Yes,"CH4, CO2, N20",15129990,16602854,,,,,,,,,,Decreased,,,664373,2019,POINT (4.45093 51.9164),2020-05-01T03:57:57.217
2019,31185,City of Warsaw,Warsaw,Poland,Europe,"C40, CDP Cities, ICLEI - Local Governments for Sustainability",public,Yes,2016-01-01 - 2016-12-31,Same – covers entire city and nothing else,Other,Covenant of Mayors,,CO2,,8843905,4302150,,,,,,,,,Increased,Increased energy/electricity consumption,,1769529,2018,POINT (21.0122 52.2297),2020-05-01T03:57:57.217
2019,35898,Greater Manchester,Manchester,United Kingdom of Great Britain and Northern Ireland,Europe,"CDP Cities, ICLEI - Local Governments for Sustainability, WWF",public,Yes,2017-01-01 - 2017-12-31,Same – covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),,Yes,"CH4, CO2, N20",4013.68,8920961.92,0,3841376.1,741.31,2854683.84,,,,,,Decreased,Technological change,,2812569,2018,POINT (-2.15783 53.4576),2020-05-01T03:57:57.217
2019,73693,City of La Rioja,,Argentina,Latin America,"CDP Cities, ICLEI - Local Governments for Sustainability",public,Yes,2014-01-01 - 2014-12-31,Same – covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),,Yes,"CH4, CO2, N20",23.55,392634.89,,241644.53,,40481.98,,,,,,,,,180995,2010,,2020-05-01T03:57:57.217
2019,54409,City of Espoo,Espoo,Finland,Europe,"CDP Cities, ICLEI - Local Governments for Sustainability, Union of the Baltic Cities",public,Yes,2018-01-01 - 2018-12-31,Same – covers entire city and nothing else,Other,,,"CH4, CO2, N20",,878000,,224000,,,,,,,,Decreased,Technological change,,283632,2018,POINT (24.6559 60.2055),2020-05-01T03:57:57.217
