Questionnaire Name	Account Number	Account Name	Country	CDP Region	Coal	Gas	Oil	Nuclear	Hydro	Biomass	Wind	Geothermal	Solar	Other sources	Total - please ensure this equals 100%	Year data applies to
Cities 2020	54116	City of Dubuque	United States of America	North America	37.84	48.43	0.02	0	1	0	12.68	0	0.03	0	100	2020
Cities 2020	54119	City of Palo Alto	United States of America	North America	0	0	0	0	40	11	11	0	17	21	100	
Cities 2020	54124	City of Fremont	United States of America	North America	0	15	0	34	15	4	10	4	18	0	100	2018
Cities 2020	54265	City of Newcastle	Australia	Southeast Asia and Oceania	78.92	0.2			5.03	1.6	5.25		5.6			2019
Cities 2020	54268	Dunedin City Council	New Zealand	Southeast Asia and Oceania	6	19	33	0	11	6	12.5	0	12.5	0	100	2018
Cities 2020	54274	Rotorua Lakes Council	New Zealand	Southeast Asia and Oceania		22			56		3	19				
Cities 2020	54289	Wuhan Municipal People's Government	China	East Asia	76	4	0	0	0	0	0	0	0	20	100	2019
Cities 2020	54305	Rajkot Municipal Corporation	India	South and West Asia	48.8	20.3	0	1.7	2.4	1.6	18.9	0	6.3	0	100	2019
Cities 2020	54327	Semarang City Government	Indonesia	Southeast Asia and Oceania										100		2019
Cities 2020	54329	Bogor City Government	Indonesia	Southeast Asia and Oceania	0	0	0	0	100	0	0	0	0	0	100	
Cities 2020	54337	Greater Amman Municipality	Jordan	Middle East	0	87.9	2.8	0	0.1	0	3.7	0	4.4	1	99.9	2018
Cities 2020	54348	The Local Government of Quezon City	Philippines	Southeast Asia and Oceania	25.77	11.92	38.15	0	12.57	0.8	1.48	6.65	2.66	0	100	2016
Cities 2020	54349	Balikpapan City Government	Indonesia	Southeast Asia and Oceania	0	2.04	51.48	0	0	0	0	0	46.48	0	100	2015
Cities 2020	54364	City of Kuala Lumpur	Malaysia	Southeast Asia and Oceania	100	0	0	0	0	0	0	0	0	0	100	2017
Cities 2020	54386	Tainan City Government	"Taiwan, Greater China"	East Asia	4.4	38.6	36.9	13.5	1.5				5.1			
Cities 2020	54388	Iskandar Regional Development Authority	Malaysia	Southeast Asia and Oceania	63.3	36.3	0.4	0	0	0	0	0	0	0	100	2017
Cities 2020	54389	Taichung City Government	"Taiwan, Greater China"	East Asia	29.85	14.97	46.92	6.31	0.36	1.14	0.12	0	0.26	0.07	100	
Cities 2020	54395	Taoyuan City Government	"Taiwan, Greater China"	East Asia	37.3	38.2	1.9	13.4	2.4	0	0.8	0	1.7	4.3	100	2019
Cities 2020	54402	City of Lahti	Finland	Europe	9	6	0.3	32	19	19	9	0	0.2	5.5	100	2018
Cities 2020	54409	City of Espoo	Finland	Europe	8	6	0	35	19	18	9	0	0	5	100	2019
Cities 2020	54459	City of Reykjavík	Iceland	Europe	0	0	0	0	70	0	0	30	0	0	100	2019
Cities 2020	54478	Gemeente Nijmegen	Netherlands	Europe	24	53	0.1	4	0.1	7	5	0	0.2	4	97.4	
Cities 2020	54488	Trondheim Municipality	Norway	Europe	0	1	1	0	98	0	0	0	0	0	100	2018
Cities 2020	54491	Municipality of Málaga	Spain	Europe										100		2019
Cities 2020	54492	Bergen Municipality	Norway	Europe	0	0	0	0	98							
Cities 2020	54498	Ayuntamiento de Murcia	Spain	Europe	5	21.9	13.6	21.2	9	1.7	20.6	0	5.5	1.5	100	2019
Cities 2020	54510	Umeå municipality	Sweden	Europe					89	8	3					
Cities 2020	54513	Municipality of Uppsala	Sweden	Europe	0	0	0	39.3	40.3	0	11	0	0.1	9.3	100	
Cities 2020	54517	City Örebro	Sweden	Europe	0	0	0	0	0	0	100	0	0	0	100	2018
Cities 2020	54519	City of Lund	Sweden	Europe	0	0	0	39	40	0	11	0	0	10	100	2017
Cities 2020	54521	BCP Council	United Kingdom of Great Britain and Northern Ireland	Europe	21	29	2	19	2	4	4	4	10	5	100	2017
Cities 2020	54529	City of Leicester	United Kingdom of Great Britain and Northern Ireland	Europe	5.1	39.5	2.9	19.5	1.6	0	21	0	0	10.4	100	
Cities 2020	54538	Bath and North East Somerset	United Kingdom of Great Britain and Northern Ireland	Europe	2.1	40.6	0.3	17.3	1.8	11.5	23.9	0	0	2.5	100	2019
Cities 2020	54603	Alcaldia de Pasto	Colombia	Latin America	0	0	0	0	0		0	0	0			
Cities 2020	54611	Alcaldia de Manizales	Colombia	Latin America	0	0	0	0	100	0	0	0	0	0	100	
Cities 2020	54614	Prefeitura da Cidade de São José do Rio Preto	Brazil	Latin America	0	0	0	0	100	0	0	0	0	0	100	2020
Cities 2020	54625	Prefeitura de Londrina	Brazil	Latin America	0	0	0	0	100	0	0	0	0	0	100	2016
Cities 2020	54632	Prefeitura de Caruaru	Brazil	Latin America					100							2019
Cities 2020	54633	Prefeitura de Lorena	Brazil	Latin America	0	0	0	0	100	0	0	0	0	0	100	
Cities 2020	54637	Alcaldía de Cuenca	Ecuador	Latin America	0	12	32	0	11	0	0	0	0	1	56	
Cities 2020	54641	Prefeitura de Limeira	Brazil	Latin America	2	3			90	2	3		3			
Cities 2020	54652	Prefeitura de Osasco	Brazil	Latin America	3	9	0	3	68	8	5	0	0	4	100	
Cities 2020	54681	Prefeitura Municipal de Araçatuba	Brazil	Latin America					100							
Cities 2020	54687	Prefeitura Municipal de São José dos Campos	Brazil	Latin America	3.6	10.5	3	2.5	65.2	8.2	6.8	0	0.1	0.1	100	
Cities 2020	54692	Prefeitura Municipal de Sertãozinho	Brazil	Latin America	0	0	0	0	60.74	8.6	8.63	14.91	3.42	3.7	100	2019
Cities 2020	54697	Prefeitura Municipal de Cerquilho	Brazil	Latin America					100							
Cities 2020	54700	Prefeitura Municipal de Sumaré	Brazil	Latin America	3	10	2	3	66	8	6	0	0	2	100	2016
Cities 2020	55324	Município de Guimarães	Portugal	Europe	54.26	5.83	0	0	27.66				12.25			2015
Cities 2020	55325	Município de Águeda	Portugal	Europe	9	6	0	3.3	15.9	0	40.5	0	0	25.3	100	
Cities 2020	55334	Município de Braga	Portugal	Europe	20	18	0	0	23	8	22	0	7	2	100	2018
Cities 2020	55371	Municipalidad de Vicente López	Argentina	Latin America	2	52	33	3	4	5	0	0	0	1	100	
Cities 2020	55372	Prefeitura Municipal de Canoas	Brazil	Latin America		0.1			99.9							
Cities 2020	55373	Prefeitura Municipal de Cabreúva	Brazil	Latin America					100							
Cities 2020	55419	City of Miramar	United States of America	North America	2.37	73.61	0.17	21.98					1.87			2019
Cities 2020	55799	"Arlington, VA"	United States of America	North America	26	24	0	47	0	1	1	0	1	0	100	2007
Cities 2020	55800	City of Cambridge	United States of America	North America	1.6	48	0.7	30.8	8.4	2.9	3.2		0.9	3.5		
Cities 2020	55801	City of West Palm Beach	United States of America	North America	2.36	73.24	0.31	22.64	0	0	0	0	1.45	0	100	2018
Cities 2020	56276	New Taipei City Government	"Taiwan, Greater China"	East Asia	30.8	35.3	5.4	8.1	5.4	0	1.8	0	7.5	5.7	100	2019
Cities 2020	57347	Pingtung County Government	"Taiwan, Greater China"	East Asia	46.11	33.23	2.1	11.79	3.19	0.06	0.68	0	1.51	1.33	100	2019
Cities 2020	57509	Prefeitura de Niterói	Brazil	Latin America		0	0	0	100	0	0	0	0	0		2019
Cities 2020	58357	City of West Hollywood	United States of America	North America	0	0	0	0	0	0	10	0	90	0	100	2019
Cities 2020	58395	Bærum Kommune	Norway	Europe	0.1	1.8	0	0	95	0	2.6	0	0	0.5	100	2018
Cities 2020	58413	"City of Carmel, IN"	United States of America	North America	44.4	21	0.3	28.3	0.9	0.6	3.6	0	0.1	0.8	100	2018
Cities 2020	58483	City of Surrey	Canada	North America	0	2	1	0	90	6	1	0	0	0	100	2018
Cities 2020	58485	Abington Township	United States of America	North America	35.2944	24.7756	0.6259	33.7896	0.9233	0.0008	3.7088	0	0.148	0.7336	100	2017
Cities 2020	58488	Sonderborg Kommune	Denmark	Europe	24	8	1	2	7	14	42	0	2	0	100	
Cities 2020	58489	Hoeje-Taastrup Kommune	Denmark	Europe	13	8	1	5	11	13	45	0	4	0	100	2019
Cities 2020	58513	City of Medford	United States of America	North America	0.5	48.5	0.2	30.5	8.9	5.6	3.6	0	1.7	0.5	100	2019
Cities 2020	58530	"City of Northampton, MA"	United States of America	North America	3.1	40	8.6	10.8	2.9	0	7.1	0	3.2	24.3	100	
Cities 2020	58531	"City of Somerville, MA"	United States of America	North America	0.5	48.5	0.2	30.5	8.9	2.5	3.6	0	1.7	3.6	100	2019
Cities 2020	58569	City of Podgorica	Montenegro	Europe	51.9	0	0	0	41	3.2	3.9	0	0	0	100	2019
Cities 2020	58595	Municipalidad de Belén	Costa Rica	Latin America	2	3	7	0	76	1	4	2	5	0	100	2017
Cities 2020	58597	Municipalidad de La Unión	Costa Rica	Latin America			0.85		69.18	0.64	15.88	13.37	0.08			2019
Cities 2020	58613	City of York Council	United Kingdom of Great Britain and Northern Ireland	Europe	5.39	40.34	0.51	19.96	2.47	9.84	17.53		3.96			2018
Cities 2020	58621	Town of Blacksburg	United States of America	North America	71.99	19.06	0	0	3.96	0	4.99	0	0	0	100	2018
Cities 2020	58668	"City of New Bedford, MA"	United States of America	North America	8	61	2	16	7	3	2	0	1	0	100	
Cities 2020	58671	Helsingør Kommune / Elsinore Municipality	Denmark	Europe	27	29	1	31	0	5	6	0	1	0	100	2019
Cities 2020	58796	Odder Kommune	Denmark	Europe	70	15	0	0	0	5	10	0				
Cities 2020	58797	Hørsholm Kommune	Denmark	Europe	18.7	6	0.8	3.9	11.4	13.2	38.5	0	3.5	4	100	2018
Cities 2020	58865	Jammerbugt Kommune	Denmark	Europe	0		0	0	0			0				
Cities 2020	59151	City of Akureyri	Iceland	Europe	0	0	0.01	0	69.07	0	0.04	30.88	0	0	100	2019
Cities 2020	59160	Ville de Nyon	Switzerland	Europe	0	0	0	0	95.3	2.13	0.15	0	2.42	0	100	
Cities 2020	59165	Gladsaxe Kommune	Denmark	Europe	11	7	1	4	7	18	46	0	6			2019
Cities 2020	59166	Municipalidad de Independencia	Chile	Latin America	55	0	0	0	36	0	5	0	4	0	100	2016
Cities 2020	59167	Municipalidad de Providencia	Chile	Latin America	16	18	15	0	39	0	0	0	12	0	100	2019
Cities 2020	59535	"Town of Vail, CO"	United States of America	North America	40	7	0	0	3	7	31	0	1	11	100	2019
Cities 2020	59536	City of Kitchener	Canada	North America	0	6.1	0	58.2	24	0.5	8.2	0	2.4	0.6	100	2019
Cities 2020	59537	"City of Denton, TX"	United States of America	North America	4.22	9.76	0	2.24	0	0.83	78.38	0	4.57	0	100	2019
Cities 2020	59538	City of Mississauga	Canada	North America	0	8.2	0	61	23.7	0.6	6.2	0	0.3	0	100	
Cities 2020	59545	"City of Charlottesville, VA"	United States of America	North America	1.84	63.62	0.37	27.75	1.39	0	0	0	0	5.03	100	2020
Cities 2020	59558	"City of Holland, MI"	United States of America	North America	21.2	61.07	0	0	0	0	7.64	0	0	10.09	100	2018
Cities 2020	59563	"City of Takoma Park, MD"	United States of America	North America	29.8	28.7	0.3	35.3	1.4	0.3	3.1	0	0.3	0.8	100	
Cities 2020	59572	"District of Saanich, BC"	Canada	North America	0	1.76			95.57					2.67		2016
Cities 2020	59631	"City of San Leandro, CA"	United States of America	North America	0	17	0	24	15	4	8	5	13	14	100	2017
Cities 2020	59633	"City of Santa Cruz, CA"	United States of America	North America	0	12	0	0	58	0	10	0	20	0	100	
Cities 2020	59642	"City of Dublin, CA"	United States of America	North America	0	0	0	0	21	0	25	1	15	38	100	2018
Cities 2020	59644	"City of Culver City, CA"	United States of America	North America	0	0	0	0	25	0	15	0	50	10	100	2020
Cities 2020	59653	"City of Manhattan Beach, CA"	United States of America	North America	0	0	0	0	0	0	0	0	100	0	100	
Cities 2020	59657	"City of Beaverton, OR"	United States of America	North America	18.13	33.66	0	0.69	25.89	1.14	15.37	0.23	3.4	1.49	100	2019
Cities 2020	59669	City of North Vancouver	Canada	North America	0	2	1	0	90	6	1	0	0	0	100	
Cities 2020	59678	"City of Evanston, IL"	United States of America	North America	35	26	0	35	1	0	2	0	0	1	100	
Cities 2020	59707	"Town of Princeton, NJ"	United States of America	North America	24.4	24.5	0.3	47.5	0.7					2.6		2019
Cities 2020	59958	Tweed Shire Council	Australia	Southeast Asia and Oceania	68	31	0	0	0	0	0	0	0	1	100	2017
Cities 2020	59969	City of Mandurah	Australia	Southeast Asia and Oceania	52	11	21					10	2	4		2019
Cities 2020	59996	Batangas City	Philippines	Southeast Asia and Oceania									5			
Cities 2020	60073	Wolverhampton City Council	United Kingdom of Great Britain and Northern Ireland	Europe	2.5	38	0.5	17	2	10	21	0	2	7	100	2019
Cities 2020	60092	City of Porvoo	Finland	Europe	0	0	0	18.19	73.95	7.55	0.29	0	0.02	0	100	2019
Cities 2020	60105	Kirklees Council	United Kingdom of Great Britain and Northern Ireland	Europe	8.5	57.9	0	17.4	0	0	0	0	0	16.2	100	2017
Cities 2020	60110	Municipality of Chişinău	Republic of Moldova	Europe		90				10		1	1			
Cities 2020	60125	Klaipeda City Municipality	Lithuania	Europe		18	8			60				14		
Cities 2020	60140	City of Nakuru	Kenya	Africa	0	6	0	0	0	60	0.5	10	0.5	0.5	77.5	2020
Cities 2020	60142	City of Kisumu	Kenya	Africa				0			0					
Cities 2020	60216	City of Växjö	Sweden	Europe	0.7	0.3	0.1	25.9	25.3	37.4	6.8	0	0.6	2.9	100	2018
Cities 2020	60229	Municipality of Arendal	Norway	Europe	0	0	0	0	98	0	0	0	0	2	100	
Cities 2020	60233	Pärnu City Government	Estonia	Europe	0	0	0	0	0	0	0	0	0	100	100	
Cities 2020	60236	Municipality of Trelleborg	Sweden	Europe	0	4	32	40	0	14	3	0	1	6	100	2017
Cities 2020	60267	Prefeitura de Guarujá	Brazil	Latin America	2.9	9.1	3.7	2.6	68.1	8.2	5.4	0	0	0	100	
Cities 2020	60268	Prefeitura de Brumadinho	Brazil	Latin America	0	0	0	0	99	0	0	0	1	0	100	
Cities 2020	60271	Prefeitura de Bertioga	Brazil	Latin America	0	0	19	4	75	0	2	0	0	0	100	
Cities 2020	60273	Prefeitura de Extrema	Brazil	Latin America	3.7	8.6	1.9	2.5	66.6	8.5	7.6	0	0.54	0	99.94	2018
Cities 2020	60278	Prefeitura de Fernandópolis	Brazil	Latin America	0	0	0	0	98	0	0	0	2	0	100	2019
Cities 2020	60279	Prefeitura de Campos de Goytacazes	Brazil	Latin America		3			95	1			1			
Cities 2020	60284	Prefeitura de Angra dos Reis	Brazil	Latin America	3	13	5	2	70	1	0	0	1	5	100	2019
Cities 2020	60318	Prefeitura de Porto Velho	Brazil	Latin America		0	7	0	93	0	0	0	0	0		2013
Cities 2020	60320	Prefeitura de Presidente Prudente	Brazil	Latin America	0	7	26	0	30	30	0	0	5	2	100	
Cities 2020	60337	Prefeitura de Quissamã	Brazil	Latin America					100							2020
Cities 2020	60339	Prefeitura de Anapolis	Brazil	Latin America	0	0	0	0	100	0	0	0	0	0	100	2020
Cities 2020	60349	Prefeitura de São Leopoldo	Brazil	Latin America	13	0	0	0	80	1	5	0	1	0	100	2016
Cities 2020	60361	Prefeitura de Tangará da Serra	Brazil	Latin America	2.9	9.1	3.7	2.6	68.1	8.2	5.4	0	0	0	100	
Cities 2020	60369	Alcaldía Municipal de Armenia	Colombia	Latin America	0	0	0	0	100	0	0	0	0	0	100	
Cities 2020	60374	Alcaldía de Ibagué	Colombia	Latin America					99				1			
Cities 2020	60385	Alcaldía de Villavicencio	Colombia	Latin America	3	8	0	0	87	1	0	0	1	0	100	
Cities 2020	60391	Municipalidad de San Borja	Peru	Latin America	1	54	9	3	20	0	0	0	0	13	100	
Cities 2020	60392	Municipalidad de San Isidro (Lima)	Peru	Latin America	0	12.11	18.22	0	37.44	32.23	0	0	0	0	100	
Cities 2020	60393	Municipalidad de Santiago	Chile	Latin America	0	24	0	0	75	0	0	0	0	1	100	2015
Cities 2020	60394	Gobierno Autónomo Municipal de Tarija	Bolivia (Plurinational State of)	Latin America		60	38		2							
Cities 2020	60399	Municipalidad de Miraflores	Peru	Latin America		45			47		3		5			
Cities 2020	60400	Municipalidad de Temuco	Chile	Latin America	3.9	12.1	4.5			53.7				25.8		2014
Cities 2020	60410	Municipalidad de Peñalolén	Chile	Latin America	21	19.2	11.4	0	27	1.8	8.6	0.2	10.8	0	100	2019
Cities 2020	60419	Municipalidad de Rio Grande	Argentina	Latin America	0	100	0	0	0	0	0	0	0	0	100	
Cities 2020	60433	City of Hvidovre	Denmark	Europe	10.5	7	0.88	4.7	10.5	13.5	45.1	0	3.6	4.22	100	2019
Cities 2020	60588	City of Alba-Iulia	Romania	Europe		1			96		1		2			
Cities 2020	60603	"City of Prince George, BC"	Canada	North America					100							
Cities 2020	60656	"City of Piedmont, CA"	United States of America	North America	3	42	0	21	8	5	7	5	9			
Cities 2020	61790	"City of Emeryville, CA"	United States of America	North America	0	15	0	33	16	4	10	4	18	0	100	2018
Cities 2020	62855	Egedal Municipality	Denmark	Europe	9	7	1	5	11	13	45	0	4	5	100	2019
Cities 2020	63543	Fredensborg Kommune	Denmark	Europe	12	7	1	5	10	13	45	0	4	3	100	2019
Cities 2020	63562	"City of South Bend, IN"	United States of America	North America	48.6	0	0	42.3	0.4	0	8.4	0	0.3	0	100	2019
Cities 2020	63601	"Township of Maplewood, NJ"	United States of America	North America	15.5	39.6	0.5	38.9	2	1.7	1	0	0.5	0.3	100	
Cities 2020	63616	Abasan Al-Kabira Municipality	State of Palestine	Middle East	17	18	50			5			10			
Cities 2020	63762	Metropolitan Washington Council of Governments (COG)	United States of America	North America	23.82	36.53	0.1	33.95	1.35	0.94	2.94	0	0.33	0.04	100	2019
Cities 2020	63941	"Broward County, FL"	United States of America	North America	2.1	72.3	0.3	22.3	0	0	0	0	1.5	1.5	100	2018
Cities 2020	63999	"City of Miami Beach, FL"	United States of America	North America	3.6	69.8	0.5	21.7	0	0	0	0	0.4	4	100	2017
Cities 2020	68373	Prefeitura de Pedreira	Brazil	Latin America	0	0	5	0	68	6	21	0	0	0	100	2019
Cities 2020	68383	Prefeitura de Itatiba	Brazil	Latin America	0	0	0	0	0	0	0	0	0	0	0	
Cities 2020	68385	Municipio La Chorrera	Panama	Latin America	0	0	100	0	0	0	0	0	0			
Cities 2020	69824	Västervik	Sweden	Europe	0	1	0	35	36	11	15	0	0	2	100	2018
Cities 2020	69848	Municipio de Loja	Ecuador	Latin America	0	0	0	0	75	0	25	0	0	0	100	
Cities 2020	69850	Municipalidad de Comas	Peru	Latin America	0	1	98	0	0	0	0	0	0	1	100	2019
Cities 2020	69968	Alcaldia de Rionegro	Colombia	Latin America	0	25	15	0	45	0	0	0	15	0	100	2016
Cities 2020	69973	Alcaldia de Barrancabermeja	Colombia	Latin America	0.5	1.5	0	0	98	0	0	0	0	0	100	
Cities 2020	69995	Kemi	Finland	Europe				41						59		
Cities 2020	70261	Alcaldia de Floridablanca	Colombia	Latin America	40	25	0	0	25	0	0	0	0	10	100	
Cities 2020	73295	"City of La Crosse, WI"	United States of America	North America	29.8	12.1	0	29.2	6.3	0	18.3	0	0	4.3	100	
Cities 2020	73301	"City of Gretna, LA"	United States of America	North America		99		0	0	0	0		1			
Cities 2020	73413	Commune de Cocody	Côte d'Ivoire	Africa	15	13	20	0	45	2	0	0	5	0	100	
Cities 2020	73530	"Town of Lexington, MA"	United States of America	North America	0	0	0	0	0	0	100	0	0	0	100	
Cities 2020	73645	KwaDukuza	South Africa	Africa	86	2	0	0	0	0	0	0	1	11	100	2011
Cities 2020	73667	San Rafael de Heredia	Costa Rica	Latin America	1	0	47	0	14	14	1	22	1	0	100	2015
Cities 2020	73669	San Luis Obispo	United States of America	North America					66		11	12	11			2020
Cities 2020	73692	Mount Barker District Council	Australia	Southeast Asia and Oceania	15.9	45.5	0.8	0	31.5	0.6	31.5	0	5.7			2015
Cities 2020	73706	City of Alameda	United States of America	North America	0	0	0	0	55	9	36	0	0	0	100	2020
Cities 2020	73749	Nagpur	India	South and West Asia	100	0	0	0	0	0	0	0	0	0	100	
Cities 2020	73750	Tarakan City	Indonesia	Southeast Asia and Oceania	0	78	22	0	0	0	0	0	0	0	100	2020
Cities 2020	73765	Tuguegarao City	Philippines	Southeast Asia and Oceania					100							2018
Cities 2020	73879	Roskilde	Denmark	Europe	36	22	1	21	0	7	13	0	0	0	100	
Cities 2020	74386	Gangtok	India	South and West Asia	49.61		0.49		49.89							
Cities 2020	74401	"City of Encinitas, CA"	United States of America	North America	0	54	0	0	0	2	16	0	18	10	100	2012
Cities 2020	74418	"Town of Breckenridge, CO"	United States of America	North America	33	37	0	0	1	0	25	0	4	0	100	2019
Cities 2020	74423	"City of Key West, FL"	United States of America	North America	10	75	0.5	12	0.5	0	0	0	2	0	100	2019
Cities 2020	74453	"City of Highland Park, IL"	United States of America	North America	29	31	0	35	1	0	3	0	0	1	100	
Cities 2020	74463	"Village of Park Forest, IL"	United States of America	North America	27.3	9.1	0.2	15.1	0.5	0.3	47	0	0.1	0.4	100	2018
Cities 2020	74466	"Village of South Barrington, IL"	United States of America	North America	50	50	0	0	0	0	0	0	0	0	100	
Cities 2020	74488	"City of Beverly, MA"	United States of America	North America		44	4						1	51		
Cities 2020	74508	"City of Winona, MN"	United States of America	North America	23	23	0	28	6	2	15	0	3	0	100	2019
Cities 2020	74531	Santa Fe County	United States of America	North America	50.6	11.1	0	29.5	0	0	6.4	0.1	2.3	0	100	2016
Cities 2020	74546	"City of Milwaukie, OR"	United States of America	North America	13.9836	36.8	0.07	0	25.24	0.17	5.5	0	0	18.1	99.8636	2020
Cities 2020	74558	"Summit County, UT"	United States of America	North America	61	14			6					19		2019
Cities 2020	74594	City of Boynton Beach	United States of America	North America	5.34	70.04	0.38	17.13	0	0	0	0	0.06	7.05	100	
Cities 2020	74607	Gemeente Alkmaar	Netherlands	Europe		43.1						3.8				2018
Cities 2020	74643	Dijon métropole	France	Europe	0.3	7.2	0.4	70.6	11.2	1.8	6.3	0	2.2	0	100	2019
Cities 2020	74671	Kadıköy	Turkey	Europe	1	75	0	0	24	0	0	0	0	0	100	2016
Cities 2020	74672	Bursa Nilüfer Municipality	Turkey	Europe	36	11			20		2	3	3	25		2019
Cities 2020	74680	City of Iasi	Romania	Europe	30	67	0.2	0	0		0	0	0.8	2		2012
Cities 2020	74695	Sandnes kommune	Norway	Europe	0	0	0	0	0	0	0	0	0	0	0	2018
Cities 2020	826182	Ayuntamiento de Tonalá	Mexico	Latin America	45	80	0	0	0	0	0	0				
Cities 2020	826201	Ayuntamiento de Zapopan	Mexico	Latin America	4.31	19.73	62.39	2.41	1.8	5.72	0.73	1.75	0.37	0.79	100	2018
Cities 2020	826207	Junta Intermunicipal de Medio Ambiente Region Valles (JIMAV)	Mexico	Latin America	0	0	100	0	0	0	0	0	0	0	100	
Cities 2020	826211	Junta Intermunicipal de Medio Ambiente Altos Sur (JIAS)	Mexico	Latin America	0	12	88									2013
Cities 2020	826212	Junta intermunicipal para la gestión integral de la cuenca del Río Coahuayana (JIRCO)	Mexico	Latin America	7	7	17	0	17	3	6	1	1	41	100	2017
Cities 2020	826236	Prefeitura de Tremembé	Brazil	Latin America		4			95				1			2019
Cities 2020	826237	Alcaldia de Madrid	Colombia	Latin America	0	0	0	0	100	0	0	0	0	0	100	2018
Cities 2020	826243	Alcaldia de Cartago	Colombia	Latin America					99.9				0.1			
Cities 2020	826381	Junta Intermunicipal de la Región Norte del Estado de Jalisco (JINOR)	Mexico	Latin America	0	0	0	0	0	0	0	0	0	0	0	
Cities 2020	826396	Munícipio de Sintra	Portugal	Europe	37	23	0	0	16	6	15	0	1	2	100	2018
Cities 2020	826407	Munícipio de Mirandela	Portugal	Europe	0	20	75	0	0	0	0	0	5			
Cities 2020	826427	Município de Valongo	Portugal	Europe	37	25		0	8	5	12			13		2017
Cities 2020	826450	Durham County Council	United Kingdom of Great Britain and Northern Ireland	Europe	4.79	38.75	0.29	17.74	1.54	8.91	19.44	0	1.47	7.07	100	2018
Cities 2020	827047	Fuzhou Municipal People's Government	China	East Asia	46.44			43.19	7.86		2.46		0.05			2018
Cities 2020	827048	Zhenjiang Municipal People's Government	China	East Asia	60.4	7	18.8	15.7			23.5		9.8	13.8		
Cities 2020	831152	Municipio de San Pedro de Urabá	Colombia	Latin America	0	0	0	0	100	0	0	0	0	0	100	
Cities 2020	831999	Concejo Municipal de Distrito de Monte Verde	Costa Rica	Latin America	0	0	0	0	0	0	15.88	13.37	0.08	70.67	100	2019
Cities 2020	832000	Municipalidad de Desamparados	Costa Rica	Latin America	0	0	0.85	0	69.18	0.64	15.88	13.37	0.08	0	100	2018
Cities 2020	832009	Ayuntamiento de Xalapa	Mexico	Latin America	12	0	63	4	10	1	4	2	1	3	100	2013
Cities 2020	832097	Município de Lagos	Portugal	Europe	0	12.703	41.9	0	45	0	0	0	0	0.397	100	2018
Cities 2020	832610	"Orange County, NC"	United States of America	North America	27	35	1	35	1	0	0	0	1	0	100	2019
Cities 2020	832909	Município de Coruche	Portugal	Europe									10.3			
Cities 2020	833284	West Midlands Combined Authority	United Kingdom of Great Britain and Northern Ireland	Europe	3.8	31.4	0.2	15.1	2.8	12	47.4			2.5		2019
Cities 2020	834058	Bogor Regency	Indonesia	Southeast Asia and Oceania	0	0	0	0	0	0	0	0	0	0	0	
Cities 2020	834083	"City of Eau Claire, WI"	United States of America	North America	34.6	14.8	0	27	7.3	2	13.7	0	0	0.6	100	
Cities 2020	834126	Dobong-gu Municipal Government	Republic of Korea	East Asia	29.5	31.6	3	18.5	3.7	3.11	0.36	0.14	1.38	8.71	100	
Cities 2020	834167	Kochi Municipal Corporation	India	South and West Asia	0	0	0	0	99.93	0	0	0	0.07	0	100	
Cities 2020	834261	Municipality of Irapuato	Mexico	Latin America	0	0	100	0	0	0	0	0	0	0	100	
Cities 2020	834347	Seberang Perai Municipal Council	Malaysia	Southeast Asia and Oceania									1			
Cities 2020	834373	"Town of York, ME"	United States of America	North America	0.5	48.5	0.2	30.5	8.9	6.04	3.6	0	1.7	0.06	100	2019
Cities 2020	834374	Tagum City	Philippines	Southeast Asia and Oceania	0		0	0	0	0	0	0				
Cities 2020	839666	Municipio de Escuintla	Guatemala	Latin America	30	0	50	0	10	5	0	0	0	5	100	
Cities 2020	839668	Municipio de Iztapa	Guatemala	Latin America			10			7				83		2018
Cities 2020	839673	Municipalidad Distrital de Jesús María	Peru	Latin America					100							2019
Cities 2020	840070	Somerset West and Taunton	United Kingdom of Great Britain and Northern Ireland	Europe	5	40	0	21	1	6	14	0	5	8	100	2018
Cities 2020	840122	Siliguri Municipal Corporation	India	South and West Asia	90.8	1.12	0	0	8.07	0	0	0	0.01	0	100	2018
Cities 2020	840244	Prefeitura de Águas da Prata	Brazil	Latin America	0	0	0	4	75	0	2	0	0	19	100	
Cities 2020	840269	"Town of Whitby, ON"	Canada	North America	0	28	0	35	23	1	12	0	1	0	100	
Cities 2020	840917	Prefeitura de Pau Brasil	Brazil	Latin America					100							
Cities 2020	840923	Prefeitura de Nova Santa Rita	Brazil	Latin America	0	0	0	0	100	0	0	0	0	0	100	2020
Cities 2020	840926	Prefeitura de Serra Talhada	Brazil	Latin America	1.9	7.8	5.2	1.2	60.8	8.6	8.6	0	1.2	4.7	100	2019
Cities 2020	840943	Prefeitura de Boa Ventura	Brazil	Latin America	0	0	0	0	98	0	2	0	0	0	100	2020
Cities 2020	841540	South Lakeland District Council	United Kingdom of Great Britain and Northern Ireland	Europe	3.11	26.76	0.17	11.9	2.28	8.81	27.98	0	13.16	5.83	100	2020
Cities 2020	841964	"City of Hallandale Beach, FL"	United States of America	North America	5.34	70.04	0.38	17.13	0	0	0	0	0.06	7.05	100	2016
